cell_id,leiden_cluster
adfiailg-1,0
adfifboe-1,4
adfifjgm-1,5
adfjldkm-1,0
adfjongn-1,0
adfkaidl-1,0
adfkbbfi-1,1
adfkhcmb-1,1
adfncbjp-1,1
adfneima-1,5
adfopjfi-1,1
adfpkaoj-1,1
adgaikmj-1,0
adgblhbf-1,1
adgbohfc-1,1
adgcciec-1,2
adgdlmbg-1,0
adgffgfe-1,1
adggglog-1,2
adghbmld-1,0
adgheonb-1,4
adghjace-1,5
adghkgdi-1,4
adghmpmn-1,2
adgjaecb-1,0
adgjidmf-1,4
adgklico-1,0
adgmjfln-1,5
adgnmlig-1,0
adgoeaca-1,0
adgonkli-1,2
adgopfbi-1,0
adgpeojo-1,1
adgpjbbe-1,0
adgplffj-1,0
adhafafi-1,0
adhajbkl-1,0
adhbnbhi-1,1
adhchlca-1,0
adhclokj-1,1
adhcnafa-1,0
adheammd-1,0
adhedklo-1,0
adhedmkn-1,0
adheghjj-1,0
adhfimgf-1,0
adhfleae-1,5
adhflhof-1,0
adhhicpg-1,4
adhhpcnf-1,0
adhjehpn-1,0
adhjfkae-1,0
adhkcbnb-1,1
adhkdfhe-1,0
adhkhfmh-1,0
adhlkpbp-1,0
adhndhhg-1,0
adhpejmm-1,0
adhphnlg-1,7
adhpjcmg-1,0
adhpmhad-1,0
adhpndad-1,0
adiainol-1,0
adibfmfm-1,1
adibilli-1,1
adichfge-1,1
adidhdni-1,2
adifpfff-1,1
adigjbec-1,0
adihgoll-1,4
adiiccem-1,0
adiimpfc-1,8
adijajmb-1,8
adijbppb-1,0
adijelji-1,0
adijglng-1,1
adilamdp-1,0
adimigej-1,0
adimkfdb-1,0
adimkhcp-1,0
adimopih-1,4
adiniokl-1,1
adioipfd-1,1
adiphcgm-1,1
adipjhbc-1,1
adjcgflh-1,1
